LSAT,GPA,resident,Sensitive,Label
161,3.69,0,0,1
158,3.45,0,0,0
155,3.52,0,0,0
158,3.49,0,0,1
157,3.58,1,0,0
168,3.49,0,0,1
158,3.46,0,0,1
168,3.6,0,0,0
155,3.6,0,0,0
157,3.71,1,0,0
165,3.47,1,0,1
158,3.46,0,0,0
155,3.51,0,0,0
167,3.69,0,0,0
159,3.68,0,0,0
179,3.83,0,0,1
167,3.78,0,0,0
167,3.6,0,0,1
165,3.88,0,0,0
177,3.96,0,0,1
164,3.41,0,0,0
162,3.41,0,0,0
155,3.75,0,0,1
163,3.64,0,0,1
163,3.55,0,0,1
162,3.66,0,0,1
169,3.89,1,0,1
165,3.48,0,0,1
165,3.48,0,0,0
155,3.41,0,0,0
156,3.57,0,0,0
166,3.82,0,0,0
175,4.03,0,0,1
163,3.47,0,0,0
159,3.81,0,0,0
176,3.81,0,0,0
160,3.43,0,0,0
167,3.5,0,0,0
158,3.61,0,0,0
160,3.41,0,0,0
166,3.38,0,0,1
161,3.38,0,0,0
165,3.67,0,0,0
166,3.45,0,0,0
167,3.5,0,0,1
162,3.94,0,0,1
159,3.84,0,0,0
166,3.69,0,0,0
160,3.45,0,0,0
165,3.58,1,0,1
169,3.43,0,0,1
170,3.6,0,0,1
155,3.47,0,0,0
157,3.44,0,0,1
165,3.94,0,0,1
164,3.71,0,0,0
156,3.77,0,0,0
162,3.57,0,0,0
158,3.76,0,0,1
174,3.86,0,0,1
162,3.73,0,0,0
162,3.48,0,0,0
158,3.55,0,0,1
159,3.49,0,0,0
155,3.42,1,0,0
163,3.61,0,0,0
167,4,0,0,0
171,3.83,0,0,1
163,3.69,0,0,0
156,3.83,1,0,1
157,3.76,0,0,0
157,3.52,0,0,0
160,3.54,0,0,1
164,3.55,0,0,0
163,3.63,0,0,0
167,3.74,0,0,1
167,3.88,1,0,1
155,3.61,0,0,0
160,3.95,1,0,1
156,3.64,0,0,0
162,3.56,0,0,1
160,3.78,0,0,1
157,3.69,0,0,0
160,3.71,1,0,1
160,3.5,0,0,0
158,3.7,0,0,1
160,3.57,1,0,0
158,3.88,0,0,0
159,3.67,0,0,0
165,3.44,0,0,0
167,3.55,0,0,1
159,3.54,0,0,0
158,3.62,0,0,1
164,3.4,0,0,0
167,3.5,0,0,0
157,3.68,0,0,0
170,3.58,0,0,0
159,3.78,0,0,0
160,3.49,1,0,0
168,3.82,0,0,1
158,3.62,0,0,0
162,3.48,1,0,0
160,3.66,0,0,0
164,3.51,0,0,0
174,3.82,0,0,1
167,3.52,0,0,0
162,3.5,0,0,0
162,3.41,1,0,1
167,3.49,0,0,0
157,3.74,0,0,1
170,3.91,0,0,1
164,3.78,0,0,1
157,3.6,0,0,0
166,3.81,0,0,1
158,3.95,0,0,1
157,3.75,0,0,0
158,3.47,0,0,0
167,3.8,0,0,1
171,3.95,0,0,1
163,3.77,0,0,0
158,3.4,0,0,0
157,3.89,1,0,1
160,3.45,0,0,0
163,3.79,0,0,0
157,3.69,0,0,1
180,4.08,0,0,1
160,3.4,0,0,0
161,3.39,0,0,0
158,3.47,0,0,0
156,3.69,0,0,1
161,3.72,0,0,1
168,3.96,0,0,1
167,3.44,0,0,0
161,3.87,0,0,1
180,3.96,0,0,1
159,3.63,0,0,0
160,3.74,0,0,1
155,3.5,1,0,1
156,3.83,1,0,0
158,3.45,0,0,1
156,3.49,0,0,0
155,3.58,0,0,0
156,3.45,0,0,0
159,3.76,0,0,1
164,3.64,0,0,0
165,3.5,0,0,1
162,3.84,0,0,0
155,3.51,0,0,0
159,3.73,0,0,0
163,3.97,1,0,1
169,3.72,0,0,1
156,3.61,0,0,1
162,4,0,0,1
162,3.5,0,0,0
161,3.61,1,0,1
158,3.69,0,0,1
163,3.78,0,0,0
164,3.56,0,0,1
162,3.55,0,0,0
157,3.58,1,0,1
157,3.56,0,0,0
159,3.6,0,0,1
164,3.46,0,0,1
157,3.8,0,0,0
175,3.77,0,0,0
155,3.47,0,0,1
162,3.98,0,0,1
163,3.77,0,0,0
155,3.6,0,0,0
163,3.53,0,0,1
159,3.48,0,0,0
162,3.63,0,0,0
170,3.71,1,0,1
156,3.56,0,0,1
156,3.53,1,0,1
155,3.49,1,0,0
168,3.46,0,0,0
157,3.71,0,0,0
155,3.56,0,0,1
158,3.44,0,0,0
167,3.47,0,0,0
163,3.85,0,0,0
162,3.55,0,0,1
165,3.63,0,0,1
165,4.1,0,0,0
160,3.56,0,0,0
169,3.67,0,0,1
158,3.48,0,0,1
162,3.9,1,0,1
157,3.48,0,0,1
158,3.66,0,0,0
156,3.43,0,0,0
162,3.49,0,0,0
164,3.65,0,0,0
156,3.45,1,0,1
157,3.63,0,0,0
163,3.7,0,0,0
169,3.38,0,0,1
157,3.49,0,0,0
172,3.65,0,0,1
159,3.8,0,0,1
159,3.56,0,0,0
161,3.43,0,0,1
155,3.55,1,0,1
166,3.55,0,0,1
159,3.87,0,0,0
156,3.78,0,0,0
164,3.86,1,0,1
156,3.93,1,0,1
168,3.46,0,0,1
159,3.44,0,0,1
160,3.54,0,0,1
157,3.63,0,0,1
175,3.61,0,0,0
162,3.87,0,0,1
161,3.6,0,0,1
159,3.67,1,0,1
170,3.86,0,0,1
169,3.96,1,0,1
164,3.41,0,0,0
158,3.45,0,0,0
162,3.6,1,0,1
164,3.45,0,0,0
164,3.86,1,0,1
173,3.87,0,0,1
156,3.45,0,0,1
162,3.55,0,0,0
163,3.6,1,0,0
163,3.4,1,0,0
168,4,1,0,1
159,3.49,0,0,0
161,3.44,0,0,0
166,3.91,0,0,0
159,3.789999008178711,0,0,1
166,3.86,0,0,1
158,3.57,0,0,1
164,3.44,0,0,1
156,3.67,1,0,0
168,3.97,0,0,1
160,3.73,0,0,0
164,3.53,0,0,0
164,3.68,0,0,1
155,3.92,1,0,1
159,3.58,0,0,0
158,3.43,0,0,1
156,3.85,1,0,0
163,3.42,0,0,0
158,3.44,1,0,0
157,3.43,0,0,0
171,4,0,0,1
161,3.41,0,0,0
157,3.64,0,0,0
166,3.49,0,0,1
158,3.7,0,0,0
162,3.5,1,0,0
162,3.96,0,0,1
166,3.5,0,0,0
166,3.68,1,0,1
159,3.7,0,0,0
167,3.83,0,0,1
155,3.59,0,0,0
162,3.6,0,0,1
178,3.47,0,0,1
159,3.63,0,0,0
160,4.06,0,0,0
163,4.01,0,0,0
162,3.51,0,0,1
173,3.64,1,0,1
164,3.66,0,0,0
161,3.87,0,0,0
156,3.6,0,0,0
161,3.68,1,0,1
155,3.41,1,0,1
165,3.59,1,0,0
165,3.43,0,0,1
158,3.48,0,0,0
162,3.54,0,0,1
155,3.62,0,0,0
156,3.83,0,0,1
165,3.87,0,0,0
167,3.67,0,0,1
157,3.6,1,0,0
157,3.41,1,0,1
159,3.69,0,0,1
164,3.75,1,0,1
164,3.44,0,0,1
167,3.88,0,0,0
156,3.41,1,0,0
158,3.95,0,0,1
155,3.5,0,0,0
161,3.42,0,0,0
169,3.67,1,0,1
155,3.59,1,0,0
163,3.43,0,0,0
162,3.48,1,0,1
160,3.84,0,0,1
164,3.47,0,0,0
157,3.54,0,0,1
166,3.58,0,0,1
170,3.95,0,0,1
161,3.94,0,0,0
159,3.87,0,0,1
156,3.39,0,0,0
163,3.74,0,0,0
174,3.97,0,0,1
164,3.44,0,0,0
155,4.09,0,0,1
155,3.62,0,0,0
159,3.82,0,0,0
157,3.41,0,0,0
158,3.4,0,0,0
166,3.38,0,0,0
162,3.67,0,0,0
156,3.69,0,0,0
165,3.44,0,0,0
161,3.75,1,0,1
167,3.58,1,0,1
164,3.82,1,0,1
160,3.38,0,0,0
159,3.48,0,0,0
159,3.82,0,0,1
157,3.56,1,0,1
163,3.51,1,0,1
165,3.45,0,0,1
164,3.59,0,0,0
158,3.94,0,0,1
156,3.73,1,0,0
161,3.93,0,0,0
158,3.62,0,0,0
169,3.42,0,0,0
159,3.69,0,0,1
161,3.75,0,0,0
160,3.75,0,0,0
170,3.78,0,0,1
158,3.47,0,0,0
156,3.81,1,0,0
155,3.67,0,0,0
167,3.46,0,0,0
155,3.88,0,0,0
160,4.05,0,0,0
162,3.53,0,0,0
160,3.71,0,0,0
155,3.47,0,0,0
163,3.63,0,0,0
162,3.69,0,0,1
164,3.63,0,0,0
157,3.509998321533203,1,0,1
160,3.38,0,0,0
159,3.56,0,0,1
158,3.69,0,0,0
169,3.51,0,0,1
155,3.66,1,0,0
165,3.82,0,0,1
161,3.88,0,0,1
155,4,1,0,0
159,3.44,0,0,0
161,3.56,0,0,0
167,3.75,0,0,0
163,3.47,0,0,0
156,3.57,0,0,0
157,3.67,1,0,1
172,3.76,0,0,0
158,3.6,0,0,0
165,3.5,1,0,1
170,3.85,0,0,0
157,3.56,1,0,1
161,3.5,1,0,1
161,3.64,0,0,0
166,3.45,0,0,0
164,3.85,0,0,1
163,3.45,1,0,1
160,3.75,0,0,0
158,3.43,0,0,1
173,3.47,1,0,1
172,3.76,0,0,0
173,3.84,0,0,1
158,3.97,0,0,1
159,3.82,0,0,1
177,4,1,0,1
163,3.46,0,0,1
156,3.75,0,0,0
155,3.76,0,0,0
157,3.46,0,0,1
159,3.85,0,0,1
162,3.96,0,0,1
161,3.74,0,0,0
157,3.5,0,0,0
165,3.54,1,0,1
159,3.67,1,0,1
168,4,0,0,1
158,3.45,1,0,1
164,3.59,0,0,0
162,3.75,1,0,1
162,3.91,0,0,0
160,3.45,0,0,1
166,3.56,0,0,1
172,3.68,0,0,1
175,3.51,0,0,0
165,3.68,0,0,1
159,3.43,1,0,0
163,3.74,0,0,0
159,3.83,1,0,0
159,3.55,0,0,1
166,3.61,0,0,0
159,3.73,0,0,0
155,3.44,1,0,0
155,3.75,0,0,0
165,3.47,0,0,0
156,3.62,0,0,1
163,3.97,0,0,1
162,3.8,1,0,1
166,3.58,0,0,0
169,3.59,0,0,1
156,3.43,0,0,0
162,3.83,0,0,0
166,3.78,0,0,1
158,3.89,0,0,1
164,3.61,0,0,1
163,3.6,1,0,1
162,4.01,0,0,0
164,3.67,0,0,0
173,3.63,0,0,1
157,3.69,0,0,0
156,3.76,0,0,0
166,3.43,0,0,1
159,3.4,0,0,1
163,3.65,0,0,1
155,3.76,0,0,0
157,3.72,0,0,1
156,3.49,0,0,0
155,3.56,0,0,1
167,4,0,0,1
161,3.74,0,0,0
161,3.89,0,0,0
155,3.47,0,0,1
170,3.55,0,0,1
161,3.47,0,0,1
161,3.39,0,0,1
156,3.42,0,0,0
157,3.58,1,0,0
166,3.38,0,0,0
159,3.55,0,0,1
162,3.51,0,0,0
155,3.52,0,0,0
155,3.41,0,0,0
159,3.53,1,0,1
156,3.87,0,0,0
160,3.86,0,0,1
171,3.94,0,0,1
166,3.5,0,0,1
170,3.61,0,0,1
159,3.56,0,0,1
160,3.42,0,0,1
171,3.65,0,0,1
156,3.6,0,0,1
163,3.46,0,0,0
165,3.86,0,0,1
161,3.94,0,0,1
162,3.62,0,0,1
159,3.88,0,0,0
162,3.68,1,0,1
166,3.48,0,0,1
168,3.77,0,0,1
166,3.81,0,0,0
164,3.51,0,0,1
156,3.91,0,0,0
160,3.81,0,0,0
161,3.57,1,0,0
155,3.72,0,0,1
155,3.62,1,0,1
161,3.91,0,0,0
163,3.48,0,0,0
156,3.94,0,0,0
163,3.55,0,0,0
158,3.5,0,0,0
166,3.64,0,0,0
174,3.99,0,0,1
163,3.44,0,0,0
158,3.52,0,0,0
158,3.43,1,0,1
155,3.97,1,0,1
158,3.46,1,0,1
165,3.81,0,0,0
160,3.46,0,0,0
158,3.79,0,0,1
158,3.5,1,0,0
158,3.73,0,0,0
168,3.76,0,0,1
168,3.4,0,0,0
156,3.66,0,0,0
157,3.5,0,0,0
170,3.77,0,0,1
164,3.44,0,0,0
170,3.82,0,0,1
155,3.82,0,0,1
160,3.53,0,0,1
163,3.93,0,0,1
160,3.39,0,0,1
158,3.46,0,0,0
157,3.75,0,0,1
161,3.79,0,0,1
166,3.44,1,0,1
178,3.53,0,0,1
167,3.79,0,0,1
155,3.5,0,0,0
160,3.79,0,0,1
164,3.53,0,0,0
165,3.68,0,0,0
164,3.78,0,0,0
172,3.87,0,0,1
164,3.65,1,0,1
168,3.84,1,0,1
157,3.63,1,0,1
163,3.68,0,0,1
167,3.62,0,0,0
161,3.91,1,0,1
158,3.81,0,0,0
171,3.44,0,0,1
164,4.14,0,0,1
166,3.81,0,0,0
158,3.75,0,0,0
160,3.92,0,0,0
155,3.6,0,0,0
161,3.51,0,0,0
156,3.62,0,0,0
166,3.55,0,0,0
161,3.67,0,0,1
156,3.7,1,0,0
160,3.71,0,0,1
158,3.77,0,0,0
168,3.93,0,0,1
170,3.85,1,0,1
158,3.47,0,0,0
159,3.54,0,0,1
167,3.58,0,0,1
160,3.61,0,0,0
159,3.41,0,0,0
159,3.64,0,0,0
162,3.67,0,0,1
163,3.52,0,0,0
170,3.56,1,0,1
165,3.43,0,0,1
158,3.82,0,0,1
155,3.93,0,0,1
168,3.4,0,0,0
163,4,0,0,1
156,3.64,1,0,1
163,3.44,0,0,0
156,3.62,0,0,1
160,3.9,0,0,0
173,3.91,0,0,1
159,3.7,0,0,1
155,3.98,0,0,1
163,3.52,0,0,0
166,3.46,0,0,0
166,3.48,0,0,1
169,3.91,0,0,0
156,3.51,0,0,0
160,3.63,0,0,0
167,3.42,1,0,0
157,3.52,0,0,0
157,3.52,0,0,0
168,3.58,0,0,0
159,3.48,0,0,0
169,4.02,0,0,1
155,3.54,0,0,0
156,3.68,0,0,0
162,3.58,0,0,0
171,3.46,0,0,1
170,3.7,0,0,0
163,4,0,0,0
160,3.4299983978271484,0,0,0
156,3.63,0,0,0
166,3.67,0,0,0
159,3.4,0,0,1
158,3.45,0,0,0
159,3.72,0,0,0
171,3.49,0,0,0
165,3.63,0,0,1
166,3.5,0,0,1
156,3.97,1,0,1
159,3.95,1,0,1
159,3.53,1,0,0
158,3.38,1,0,0
163,3.54,0,0,0
159,3.79,1,0,0
166,3.53,0,0,0
158,3.78,0,0,1
155,3.67,0,0,1
158,3.96,0,0,1
159,3.45,0,0,0
155,3.51,0,0,0
173,3.69,0,0,1
166,3.87,0,0,0
161,3.6,0,0,0
166,3.59,0,0,1
155,3.84,1,0,0
167,3.86,0,0,1
158,3.69,0,0,1
162,3.72,0,0,1
156,3.68,0,0,0
159,3.77,1,0,1
155,3.66,0,0,0
160,3.53,0,0,0
155,3.56,0,0,1
160,3.56,1,0,1
156,3.93,0,0,0
165,3.43,1,0,1
164,3.97,0,0,0
157,3.67,1,0,0
163,3.42,0,0,0
163,3.5,0,0,0
162,3.81,0,0,0
171,3.66,1,0,1
155,3.73,0,0,1
156,3.86,0,0,1
156,3.95,0,0,1
162,3.89,0,0,0
157,3.85,0,0,1
171,3.65,0,0,0
155,3.74,0,0,0
166,3.57,1,0,1
160,3.62,0,0,1
172,3.63,0,0,1
167,3.73,1,0,0
162,3.58,0,0,1
167,4,0,0,1
159,3.85,0,0,1
156,3.64,0,0,0
169,3.96,1,0,1
159,3.93,0,0,0
162,3.73,0,0,0
163,3.7,0,0,0
161,3.41,0,0,0
165,3.47,1,0,1
164,3.41,0,0,0
161,3.51,0,0,1
163,3.43,0,0,0
163,3.47,0,0,0
162,3.41,0,0,0
163,3.93,0,0,0
170,3.5,1,0,1
167,3.43,0,0,0
159,3.46,0,0,0
167,3.91,0,0,1
157,3.6,0,0,0
157,3.65,1,0,1
161,3.44,1,0,0
162,3.91,0,0,0
167,3.73,0,0,0
158,3.62,1,0,0
171,3.98,0,0,1
157,3.43,0,0,1
161,3.47,0,0,1
159,3.5,0,0,1
157,3.44,0,0,0
155,3.6,0,0,0
163,3.42,0,0,0
160,3.82,1,0,1
160,3.52,0,0,1
155,3.64,0,0,0
168,3.75,0,0,0
163,4.04,0,0,0
171,3.8,1,0,1
166,3.6,1,0,1
158,3.67,0,0,0
163,3.38,1,0,0
155,3.59,0,0,0
158,3.47,0,0,0
157,3.7,0,0,1
164,3.99,1,0,1
158,3.73,0,0,0
157,3.78,1,0,1
165,3.89,0,0,0
179,3.65,0,0,1
175,3.79,0,0,1
159,3.55,0,0,0
162,3.56,0,0,0
164,3.68,0,0,0
163,3.68,1,0,1
159,3.75,0,0,1
162,3.52,0,0,1
156,3.72,1,0,1
171,3.72,0,0,1
157,3.61,0,0,0
159,3.74,0,0,1
158,3.42,0,0,1
168,3.66,0,0,0
168,3.58,0,0,1
163,3.5,0,0,0
158,3.64,0,0,1
159,3.53,0,0,0
168,3.84,1,0,1
159,3.45,0,0,0
157,3.41,0,0,0
158,3.44,0,0,1
168,3.52,0,0,0
164,3.68,0,0,1
167,3.69,0,0,0
157,3.83,0,0,1
159,3.68,1,0,1
162,3.98,1,0,1
164,3.72,0,0,0
164,3.41,0,0,0
169,3.96,0,0,1
155,3.38,1,0,0
173,3.86,0,0,0
155,3.67,0,0,0
158,3.7,0,0,0
159,3.5,0,0,1
159,3.54,0,0,0
165,3.84,0,0,1
165,3.86,0,0,0
163,3.7,1,0,1
158,3.8,0,0,0
173,3.86,0,0,1
159,3.38,0,0,1
178,3.92,0,0,1
171,3.62,0,0,1
157,3.6,0,0,0
168,3.8,1,0,1
155,3.48,0,0,1
158,3.52,1,0,1
164,3.43,0,0,1
159,3.92,0,0,1
164,3.99,0,0,0
163,3.72,0,0,0
161,3.92,0,0,1
165,3.65,0,0,0
156,3.41,1,0,0
155,3.75,0,0,0
171,3.47,0,0,0
165,4.14,0,0,0
172,3.45,0,0,1
156,3.38,0,0,0
168,3.5,0,0,1
159,3.91,0,0,1
155,3.46,0,0,1
168,3.77,0,0,1
156,3.38,0,0,1
159,3.94,1,0,1
157,3.64,0,0,0
160,3.45,0,0,0
158,3.69,0,0,0
155,3.85,0,0,0
173,3.76,0,0,0
161,3.5,0,0,1
159,3.5,0,0,1
163,3.76,1,0,1
156,3.88,0,0,1
161,3.97,0,0,0
172,3.9,0,0,1
155,3.67,0,0,1
155,3.38,0,0,0
163,3.61,0,0,1
155,3.39,0,0,0
161,3.47,0,0,1
159,3.94,0,0,1
160,3.72,0,0,1
156,3.56,0,0,0
165,3.67,0,0,0
158,3.39,0,0,0
164,3.5,0,0,0
160,3.58,0,0,0
159,3.38,0,0,0
161,3.78,0,0,0
158,3.97,1,0,1
160,3.71,1,0,1
161,3.45,0,0,0
160,3.46,0,0,0
161,3.71,0,0,0
160,3.7,0,0,0
168,3.5,0,0,0
157,3.5,0,0,0
166,3.65,0,0,0
165,3.6,0,0,1
168,3.72,0,0,0
157,3.64,0,0,0
157,3.85,0,0,1
161,3.72,1,0,1
172,3.65,0,0,1
162,3.55,0,0,1
163,3.47,0,0,0
155,3.49,0,0,1
164,3.57,0,0,0
160,4,0,0,1
164,3.62,0,0,0
155,3.5,0,0,0
169,3.8,0,0,1
156,3.72,0,0,0
163,3.7,0,0,1
159,3.75,0,0,0
158,3.98,0,0,0
165,3.69,0,0,1
172,3.8,0,0,1
170,3.6,0,0,1
162,3.42,1,0,1
157,3.56,0,0,0
155,3.65,0,0,0
157,3.67,1,0,0
156,3.53,0,0,1
157,3.6,1,0,0
170,3.54,0,0,1
168,3.97,0,0,0
155,3.57,0,0,0
156,3.56,0,0,0
161,3.51,0,0,0
155,3.41,0,0,0
162,3.61,0,0,0
159,3.73,0,0,1
163,3.64,0,0,0
165,3.73,0,0,1
161,3.82,1,0,1
159,3.8,0,0,0
167,3.63,1,0,1
159,3.67,0,0,0
155,3.94,0,0,0
171,3.55,0,0,0
170,3.57,0,0,1
157,3.59,0,0,0
167,3.55,1,0,1
163,3.52,0,0,0
165,3.58,0,0,0
166,3.71,0,0,1
163,3.46,0,0,1
162,3.48,1,0,0
161,3.97,0,0,0
157,3.59,1,0,0
159,3.87,0,0,0
165,3.54,1,0,0
158,3.39,1,0,1
169,3.91,0,0,1
162,3.63,0,0,0
158,3.72,1,0,1
161,3.52,0,0,0
165,3.65,0,0,0
159,3.48,0,0,0
161,3.45,1,0,1
180,3.38,0,0,1
155,3.43,0,0,0
158,3.45,0,0,0
168,3.61,0,0,1
156,3.85,1,0,1
156,3.59,0,0,0
159,3.71,0,0,0
161,3.6,0,0,0
158,3.53,1,0,1
160,4,0,0,1
169,3.39,0,0,0
162,3.77,0,0,0
171,3.62,0,0,0
157,3.86,0,0,0
161,3.69,0,0,0
162,3.62,1,0,1
168,3.84,0,0,1
156,3.6,0,0,0
168,3.76,0,0,0
168,3.82,0,0,1
164,3.87,0,0,1
161,3.67,0,0,1
165,3.73,1,0,1
162,3.4,0,0,0
158,3.38,0,0,0
163,3.73,0,0,0
165,3.45,0,0,0
163,3.44,0,0,1
161,3.51,0,0,0
160,3.58,0,0,1
159,3.4,0,0,0
157,3.84,0,0,0
160,3.94,1,0,1
160,3.45,0,0,0
166,3.46,0,0,1
161,3.4,1,0,0
168,3.49,0,0,1
163,3.62,0,0,0
164,3.68,1,0,1
166,3.49,0,0,1
161,3.99,0,0,1
159,3.75,0,0,0
164,3.7,1,0,1
159,3.71,0,0,1
166,3.83,0,0,1
164,3.85,0,0,1
172,3.9,0,0,1
171,4.04,0,0,0
155,3.43,0,0,0
162,3.48,0,0,0
173,3.84,0,0,0
167,3.43,0,0,1
159,3.7,1,0,1
156,3.61,0,0,1
155,3.58,0,0,0
170,3.54,0,0,1
161,3.88,0,0,1
162,3.39,0,0,0
158,3.57,1,0,0
168,3.5,0,0,0
167,3.77,0,0,0
159,3.47,1,0,0
160,3.6,0,0,1
171,3.78,0,0,1
160,4,0,0,0
159,3.45,0,0,1
160,3.44,0,0,0
162,3.96,0,0,1
157,3.49,0,0,0
158,3.65,1,0,0
162,3.64,0,0,0
157,3.68,0,0,0
163,4.01,0,0,0
156,3.65,1,0,1
161,3.5,0,0,0
171,3.78,0,0,0
155,3.53,0,0,0
174,3.84,0,0,1
165,3.6,0,0,1
164,3.74,0,0,0
165,3.98,0,0,0
157,3.66,0,0,0
164,3.4,0,0,1
171,3.9,0,0,1
162,3.56,0,0,0
157,3.44,0,0,0
171,3.65,0,0,0
158,3.69,0,0,1
158,3.5,0,0,0
162,3.51,0,0,0
179,3.96,1,0,1
160,3.41,0,0,0
159,3.53,0,0,0
167,3.62,0,0,0
162,3.57,0,0,0
169,3.88,0,0,0
172,3.51,0,0,0
166,3.92,0,0,1
163,3.58,0,0,1
162,3.94,1,0,1
164,3.67,0,0,1
161,3.91,1,0,1
156,3.5,0,0,0
158,3.83,1,0,1
157,3.67,1,0,1
163,3.71,0,0,1
167,3.57,0,0,1
167,3.52,0,0,0
160,3.97,1,0,1
163,3.7,0,0,0
163,3.88,0,0,0
163,3.39,1,0,1
155,3.4499988555908203,0,0,1
164,3.77,0,0,0
163,3.79,0,0,0
162,3.8,0,0,0
174,3.56,0,0,1
158,3.76,0,0,1
171,3.98,0,0,1
161,3.45,0,0,0
158,3.53,0,0,0
164,3.65,0,0,0
158,3.6,0,0,0
166,3.75,0,0,1
156,3.84,0,0,0
160,3.38,0,0,1
165,3.7,0,0,0
158,3.38,0,0,0
162,3.57,0,0,0
168,3.85,0,0,1
170,3.63,0,0,0
172,3.78,0,0,0
